chararacter	code_point	width_in_consolas	width_in_menlo	width_in_meiryo	width_in_hiragino_sans	eaw_width
©	U+00A9	1	1	2	1	N
­	U+00AD	1	1	2	1	A
®	U+00AE	1	1	2	1	A
±	U+00B1	1	1	2	1	A
¸	U+00B8	1	1	1	2	A
¼	U+00BC	1	1	2	2	A
½	U+00BD	1	1	2	2	A
¾	U+00BE	1	1	2	2	A
À	U+00C0	1	1	1	2	N
Á	U+00C1	1	1	1	2	N
Â	U+00C2	1	1	1	2	N
Ã	U+00C3	1	1	1	2	N
Ä	U+00C4	1	1	1	2	N
Å	U+00C5	1	1	1	2	N
Æ	U+00C6	1	1	2	2	A
Ç	U+00C7	1	1	1	2	N
Ð	U+00D0	1	1	2	2	A
Ñ	U+00D1	1	1	2	2	N
Ò	U+00D2	1	1	2	2	N
Ó	U+00D3	1	1	2	2	N
Ô	U+00D4	1	1	2	2	N
Õ	U+00D5	1	1	2	2	N
Ö	U+00D6	1	1	2	2	N
×	U+00D7	1	1	2	1	A
Ø	U+00D8	1	1	2	2	A
Ù	U+00D9	1	1	2	2	N
Ú	U+00DA	1	1	2	2	N
Û	U+00DB	1	1	2	2	N
Ü	U+00DC	1	1	2	2	N
Ý	U+00DD	1	1	1	2	N
æ	U+00E6	1	1	2	2	A
÷	U+00F7	1	1	2	1	A
Ā	U+0100	1	1	1	2	N
Ă	U+0102	1	1	1	2	N
Ą	U+0104	1	1	1	2	N
Ć	U+0106	1	1	1	2	N
Ĉ	U+0108	1	1	1	2	N
Č	U+010C	1	1	1	2	N
Ď	U+010E	1	1	2	2	N
ď	U+010F	1	1	2	2	N
Đ	U+0110	1	1	2	-	N
Ĝ	U+011C	1	1	2	2	N
Ğ	U+011E	1	1	2	-	N
Ġ	U+0120	1	1	2	-	N
Ģ	U+0122	1	1	2	-	N
Ĥ	U+0124	1	1	2	2	N
Ħ	U+0126	1	1	2	-	A
Ĳ	U+0132	1	1	2	-	A
Ń	U+0143	1	1	2	2	N
Ņ	U+0145	1	1	2	-	N
Ň	U+0147	1	1	2	2	N
ŉ	U+0149	1	1	2	-	A
Ŋ	U+014A	1	1	2	-	A
Ō	U+014C	1	1	2	2	N
Ŏ	U+014E	1	1	2	-	N
Ő	U+0150	1	1	2	2	N
Œ	U+0152	1	1	2	2	A
œ	U+0153	1	1	2	2	A
Ŕ	U+0154	1	1	2	2	N
Ŗ	U+0156	1	1	2	-	N
Ř	U+0158	1	1	2	2	N
Ś	U+015A	1	1	1	2	N
Ŝ	U+015C	1	1	1	2	N
Ş	U+015E	1	1	1	2	N
Š	U+0160	1	1	1	2	N
Ũ	U+0168	1	1	2	2	N
Ū	U+016A	1	1	2	2	N
Ŭ	U+016C	1	1	2	2	N
Ů	U+016E	1	1	2	2	N
Ű	U+0170	1	1	2	2	N
Ų	U+0172	1	1	2	-	N
Ŵ	U+0174	1	1	2	-	N
ŵ	U+0175	1	1	2	-	N
Ÿ	U+0178	1	1	1	2	N
Ź	U+0179	1	1	1	2	N
